Currency,Date,Close,Open,High,Low
LTC,12-07-20,44.44773091,44.33690013,44.70902926,43.9214668
LTC,13-07-20,44.64896546,44.73243202,45.28143231,43.78322756
LTC,14-07-20,43.89283402,44.73785841,45.58274094,42.72802791
LTC,15-07-20,43.73040508,43.92220797,43.93132294,42.90598536
LTC,16-07-20,43.30042288,43.91097752,44.03943764,42.98738113
LTC,17-07-20,42.01513689,43.29921394,43.44762979,40.9547912
LTC,18-07-20,41.90940287,42.0777452,42.44503701,41.69654404
LTC,19-07-20,42.49211906,41.91275763,42.90305475,41.76801725
LTC,20-07-20,42.54894261,42.5044098,42.65019412,41.90823031
LTC,21-07-20,41.91186446,42.6604561,42.83441423,41.44505349
LTC,22-07-20,43.59651303,41.98021881,44.13706331,41.91724985
LTC,23-07-20,44.61084181,43.82335231,44.63222953,43.29265369
LTC,24-07-20,45.14055141,45.03502744,45.66694038,44.60974975
LTC,25-07-20,44.35110746,45.00355703,45.02258487,44.00245058
LTC,26-07-20,49.28779425,44.20569811,49.50649541,44.1404065
LTC,27-07-20,48.24400753,49.21081353,50.41094564,47.6762704
LTC,28-07-20,55.32183832,48.13115871,55.88008929,46.95960252
LTC,29-07-20,55.53504173,53.3414394,57.97422344,51.73312072
LTC,30-07-20,55.9249167,55.86010891,56.96252314,55.03260627
LTC,31-07-20,57.7249513,55.26079605,58.64128978,54.02154466
LTC,01-08-20,58.39915784,56.79677125,59.30582481,55.88041257
LTC,02-08-20,61.46745157,58.22798555,62.35907882,57.65773429
LTC,03-08-20,57.29901135,61.75215868,64.96838804,52.44325815
LTC,04-08-20,58.501524,56.7690731,60.06734718,55.79986592
LTC,05-08-20,57.82674915,58.54868247,59.44848612,56.51650121
LTC,06-08-20,58.47971789,57.63515731,59.83886885,56.81029763
LTC,07-08-20,59.32069014,58.94977753,60.72457791,57.78641158
LTC,08-08-20,57.66170102,59.12483808,61.1284579,54.82884549
LTC,09-08-20,57.99127965,57.24934715,58.57288945,56.66129973
LTC,10-08-20,56.76427287,58.48012465,58.64579268,56.13343677
LTC,11-08-20,58.27754708,57.00906199,59.51545388,56.67308051
LTC,12-08-20,53.84165628,58.34186923,59.7072061,52.47722207
LTC,13-08-20,54.37798144,54.14843381,55.08054943,51.63649548
LTC,14-08-20,57.23210281,54.54871844,57.31043072,51.99777803
LTC,15-08-20,56.95730525,57.16960603,57.94544646,55.95202405
LTC,16-08-20,60.28207076,56.86608414,60.90633013,56.6411706
LTC,17-08-20,62.22813106,59.91136359,62.94995988,58.12592594
LTC,18-08-20,68.09085569,63.916535,68.96556563,61.51949901
LTC,19-08-20,66.75904841,67.29110469,68.44045177,63.57777901
LTC,20-08-20,61.55236159,65.49073333,67.16893552,58.92772564
LTC,21-08-20,62.42965246,62.15098529,63.68955516,61.07748623
LTC,22-08-20,59.93854292,62.86995437,63.89444903,59.26647526
LTC,23-08-20,60.28170293,59.21175291,60.54117259,57.86219586
LTC,24-08-20,60.66594102,60.27998267,61.66861645,58.12112183
LTC,25-08-20,62.0530229,60.61535113,63.06735656,60.07155718
LTC,26-08-20,58.52938513,62.08410457,62.32366414,56.6776733
LTC,27-08-20,58.18882282,58.41510654,59.15619812,57.09656903
LTC,28-08-20,55.69544563,58.13014407,59.27427216,54.10336058
LTC,29-08-20,56.67931779,56.15171118,58.29243388,55.40462393
LTC,30-08-20,57.29259577,57.44664784,58.22037286,57.08094644
LTC,31-08-20,61.93985559,57.03639271,62.51191843,56.99775623
LTC,01-09-20,61.08697438,62.89865308,63.67993021,60.63612274
LTC,02-09-20,63.36223131,60.97867088,64.34505402,59.81288015
LTC,03-09-20,58.44322286,62.69946031,63.18881843,56.74620721
LTC,04-09-20,52.98107937,58.15920815,58.67358467,52.04322825
LTC,05-09-20,51.1637644,47.91696708,52.48405786,46.88587598
LTC,06-09-20,46.73971045,50.43814462,51.37062577,45.66628774
LTC,07-09-20,47.65009452,47.83276625,49.21206863,46.39842155
LTC,08-09-20,48.68881686,47.95369001,48.73491406,45.38239474
LTC,09-09-20,46.85150976,48.85567835,49.36897644,46.08490641
LTC,10-09-20,48.07907111,47.50239341,48.84900967,46.5786817
LTC,11-09-20,48.64044954,47.86362797,49.42914305,47.82859935
LTC,12-09-20,48.98554358,48.70342866,49.42812652,47.4762351
LTC,13-09-20,50.88733227,49.01643529,51.31911119,48.48409967
LTC,14-09-20,48.02002975,50.84883026,51.03864786,47.43732047
LTC,15-09-20,48.70359129,48.17157284,49.69410142,47.42876164
LTC,16-09-20,48.67351713,49.12054602,50.21601755,48.42770441
LTC,17-09-20,48.31965614,48.33748043,48.78443047,47.07775511
LTC,18-09-20,49.02235882,47.79375631,49.54370541,47.71102769
LTC,19-09-20,48.28112109,48.8874977,49.06827685,47.54603716
LTC,20-09-20,48.38564008,48.54878139,49.00324922,48.02296923
LTC,21-09-20,46.56222926,48.53150699,48.53150699,46.22773441
LTC,22-09-20,43.70660799,47.10760343,47.64970385,41.72320444
LTC,23-09-20,44.46028865,43.18572437,44.80362332,42.82436939
LTC,24-09-20,43.04741303,44.49008872,45.08786465,42.8486721
LTC,25-09-20,44.77884414,42.96679537,45.22243627,42.60388118
LTC,26-09-20,46.30852603,44.92505308,46.5587022,44.1379555
LTC,27-09-20,46.03461846,46.02325858,46.55267717,45.1719256
